Date_id,date_type,date,contact_id
90,Birthdate,1987-04-15,159
91,Birthdate,1972-09-24,161
92,Birthdate,1980-01-08,164
93,Birthdate,1971-05-10,166
94,Birthdate,1964-08-23,168
95,Birthdate,1992-09-29,169
96,Birthdate,1969-09-25,171
97,Birthdate,1984-09-22,172
98,Birthdate,1970-01-13,175
99,Birthdate,1981-06-27,176
100,Birthdate,1995-12-28,181
101,Birthdate,1964-06-29,182
102,Birthdate,1966-04-08,183
103,Birthdate,1988-06-26,188
104,Birthdate,1977-05-10,189
105,Birthdate,1965-07-09,196
106,Birthdate,1993-12-20,198
107,Birthdate,1996-01-03,201
108,Birthdate,1967-11-12,202
109,Birthdate,1973-10-08,203
110,Birthdate,1975-06-05,204
111,Birthdate,1974-06-13,205
112,Birthdate,1973-05-06,207
113,Birthdate,1981-02-08,208
114,Birthdate,1975-07-19,209
115,Birthdate,1972-10-05,211
116,Birthdate,1969-09-19,212
117,Birthdate,1977-04-16,213
118,Birthdate,1981-01-02,214
119,Birthdate,1990-11-30,218
120,Birthdate,1982-03-16,219
121,Birthdate,1971-05-25,220
122,Birthdate,1977-10-26,223
123,Birthdate,1971-09-11,224
124,Birthdate,1984-12-03,225
125,Birthdate,1965-10-29,227
126,Birthdate,1977-06-24,230
127,Birthdate,1979-08-17,231
128,Birthdate,1984-12-28,232
129,Birthdate,1970-12-06,233
130,Birthdate,1985-01-19,234
131,Birthdate,1981-03-25,235
132,Birthdate,1985-06-10,236
133,Birthdate,1993-01-27,237
134,Birthdate,1969-03-03,239
135,Birthdate,1992-04-01,240
136,Birthdate,1987-10-26,242
137,Birthdate,1990-03-25,245
138,Birthdate,1966-01-13,248
139,Birthdate,1970-03-02,250
140,Birthdate,1984-10-10,251
141,Birthdate,1977-09-23,252
142,Birthdate,1989-03-26,253
143,Birthdate,1971-07-17,255
144,Birthdate,1991-04-06,259
145,Birthdate,1969-10-17,260
146,Birthdate,1986-12-04,261
147,Birthdate,1976-09-28,265
148,Birthdate,1982-12-31,266
149,Birthdate,1992-06-14,267
150,Birthdate,1993-11-25,268
151,Birthdate,1991-03-06,269
152,Birthdate,1986-05-21,270
153,Birthdate,1964-02-14,271
154,Birthdate,1984-08-24,272
155,Birthdate,1963-10-31,273
156,Birthdate,1969-02-13,274
157,Birthdate,1966-06-22,276
158,Birthdate,1974-07-30,278
159,Birthdate,1979-10-08,282
160,Birthdate,1974-02-15,283
161,Birthdate,1992-01-25,284
162,Birthdate,1970-12-08,286
163,Birthdate,1965-07-02,287
164,Birthdate,1968-11-06,289
165,Birthdate,1971-04-27,291
166,Birthdate,1991-09-11,292
167,Birthdate,1982-12-11,293
168,Birthdate,1975-10-13,295
169,Birthdate,1996-01-02,296
170,Birthdate,1980-11-06,298
171,Birthdate,1974-06-29,299
172,Birthdate,1987-11-22,301
173,Birthdate,1964-01-08,302
174,Birthdate,1970-12-13,304
175,Birthdate,1981-09-20,306
176,Birthdate,1983-08-11,308
177,Birthdate,1991-02-15,309
178,Birthdate,1983-05-02,310
179,Birthdate,1979-10-24,311
180,Birthdate,1970-01-21,313
181,Birthdate,1994-08-06,314
182,Birthdate,1982-04-25,315
183,Birthdate,1966-10-03,316
184,Birthdate,1965-06-14,317
185,Birthdate,1991-08-11,321
186,Birthdate,1964-01-10,323
187,Birthdate,1966-02-19,324
188,Birthdate,1977-12-02,325
189,Birthdate,1991-06-10,328
190,Birthdate,1967-11-04,329
191,Birthdate,1978-12-26,330
192,Birthdate,1991-08-22,331
193,Birthdate,1996-04-01,332
194,Birthdate,1994-11-02,334
195,Birthdate,1971-04-08,336
196,Birthdate,1986-10-25,337
197,Birthdate,1974-02-02,338
198,Birthdate,1978-05-01,339
199,Birthdate,1975-03-26,340
200,Birthdate,1971-11-26,343
201,Birthdate,1977-08-24,344
202,Birthdate,1969-11-21,347
203,Birthdate,1978-11-30,349
204,Birthdate,1994-07-14,350
205,Birthdate,1988-04-09,355
206,Birthdate,1973-04-23,359
207,Birthdate,1965-04-09,361
208,Birthdate,1975-05-23,362
209,Birthdate,1974-04-11,363
210,Birthdate,1991-03-20,365
211,Birthdate,1982-04-21,366
212,Birthdate,1987-03-10,367
213,Birthdate,1980-10-10,373
214,Birthdate,1970-08-02,374
215,Birthdate,1973-02-13,376
216,Birthdate,1994-07-07,377
217,Birthdate,1990-03-22,378
218,Birthdate,1971-07-04,379
219,Birthdate,1983-04-19,380
220,Birthdate,1983-05-03,383
221,Birthdate,1982-11-18,387
222,Birthdate,1981-05-29,388
223,Birthdate,1980-05-10,389
224,Birthdate,1966-05-17,390
225,Birthdate,1980-12-24,391
226,Birthdate,1974-05-01,392
227,Birthdate,1970-01-04,393
228,Birthdate,1980-01-23,394
229,Birthdate,1989-08-10,395
230,Birthdate,1988-05-07,396
231,Birthdate,1966-12-12,397
232,Birthdate,1990-01-03,398
233,Birthdate,1979-06-11,399
234,Birthdate,1996-02-10,401
235,Birthdate,1966-04-02,402
236,Birthdate,1996-11-14,406
237,Birthdate,1967-12-12,407
238,Birthdate,1982-03-25,408
239,Birthdate,1976-03-27,409
240,Birthdate,1989-05-17,411
241,Birthdate,1969-04-04,412
242,Birthdate,1969-03-05,415
243,Birthdate,1965-10-20,416
244,Birthdate,1975-02-13,417
245,Birthdate,1979-03-11,419
246,Birthdate,1981-08-29,421
247,Birthdate,1994-03-13,424
248,Birthdate,1984-06-30,426
249,Birthdate,1968-04-09,427
250,Birthdate,1980-09-27,429
251,Birthdate,1982-03-11,430
252,Birthdate,1966-04-30,431
253,Birthdate,1977-09-14,432
254,Birthdate,1964-08-17,438
255,Birthdate,1968-12-11,439
256,Birthdate,1987-09-20,440
257,Birthdate,1989-04-16,441
258,Birthdate,1975-02-11,442
259,Birthdate,1994-12-19,443
260,Birthdate,1972-07-17,444
261,Birthdate,1973-07-05,447
262,Birthdate,1983-02-04,448
263,Birthdate,1977-05-08,449
264,Birthdate,1968-01-09,450
265,Birthdate,1989-07-02,451
266,Birthdate,1969-12-30,452
267,Birthdate,1968-02-17,453
268,Birthdate,1964-10-09,455
269,Birthdate,1982-12-19,456
270,Birthdate,1975-08-22,458
271,Birthdate,1977-06-05,460
272,Birthdate,1988-06-11,461
273,Birthdate,1991-07-10,464
274,Birthdate,1975-01-07,465
275,Birthdate,1994-03-26,467
276,Birthdate,1973-01-02,468
277,Birthdate,1976-10-27,469
278,Birthdate,1966-04-06,470
279,Birthdate,1972-08-13,472
280,Birthdate,1980-03-02,473
281,Birthdate,1987-06-20,474
282,Birthdate,1981-11-25,476
283,Birthdate,1974-12-03,485
284,Birthdate,1970-05-14,486
285,Birthdate,1995-09-29,488
286,Birthdate,1988-08-03,489
287,Birthdate,1970-09-12,491
288,Birthdate,1986-09-09,492
289,Birthdate,1974-04-24,494
290,Birthdate,1972-12-07,495
291,Birthdate,1970-02-12,497
292,Birthdate,1972-10-07,498
293,Birthdate,1989-01-14,499
294,Birthdate,1983-05-20,501
295,Birthdate,1976-08-11,502
296,Birthdate,1971-10-17,504
297,Birthdate,1966-06-23,505
298,Birthdate,1980-07-31,506
299,Birthdate,1979-05-31,507
300,Birthdate,1992-01-17,508
301,Birthdate,1989-05-14,512
302,Birthdate,1995-10-29,513
303,Birthdate,1972-10-25,514
304,Birthdate,1975-03-27,515
305,Birthdate,1992-09-07,517
306,Birthdate,1976-05-16,518
307,Birthdate,1982-12-01,519
308,Birthdate,1977-09-12,520
309,Birthdate,1986-05-12,522
310,Birthdate,1979-10-19,525
311,Birthdate,1963-12-23,527
312,Birthdate,1970-12-03,529
313,Birthdate,1979-03-08,530
314,Birthdate,1967-08-02,532
315,Birthdate,1982-02-21,533
316,Birthdate,1974-10-07,534
317,Birthdate,1986-08-23,536
318,Birthdate,1988-10-11,537
319,Birthdate,1967-09-06,539
320,Birthdate,1964-08-03,540
321,Birthdate,1986-01-21,542
322,Birthdate,1976-04-13,547
323,Birthdate,1996-08-24,549
324,Birthdate,1966-03-10,553
325,Birthdate,1991-04-30,556
326,Birthdate,1972-05-06,557
327,Birthdate,1980-07-13,559
328,Birthdate,1987-02-18,560
329,Birthdate,1975-10-24,562
330,Birthdate,1980-02-28,565
331,Birthdate,1982-01-03,566
332,Birthdate,1985-10-26,570
333,Birthdate,1979-11-23,571
334,Birthdate,1967-04-19,573
335,Birthdate,1982-12-31,574
336,Birthdate,1977-01-13,575
337,Birthdate,1985-12-26,577
338,Birthdate,1995-11-28,578
339,Birthdate,1966-12-05,579
340,Birthdate,1982-07-24,582
341,Birthdate,1996-05-23,584
342,Birthdate,1995-04-20,585
343,Birthdate,1976-11-16,588
344,Birthdate,1972-08-04,589
345,Birthdate,1970-03-28,590
346,Birthdate,1995-04-02,591
347,Birthdate,1966-10-10,592
348,Birthdate,1977-11-23,593
349,Birthdate,1969-08-31,594
350,Birthdate,1972-12-26,597
351,Birthdate,1995-03-23,598
352,Birthdate,1966-04-04,601
353,Birthdate,1982-09-12,602
354,Birthdate,1995-10-24,603
355,Birthdate,1986-10-24,605
356,Birthdate,1980-01-12,608
357,Birthdate,1996-12-22,609
358,Birthdate,1982-06-16,610
359,Birthdate,1996-02-16,611
360,Birthdate,1965-03-21,613
361,Birthdate,1969-06-03,621
362,Birthdate,1985-01-14,622
363,Birthdate,1984-08-26,624
364,Birthdate,1971-11-29,628
365,Birthdate,1983-12-12,629
366,Birthdate,1983-12-24,631
367,Birthdate,1992-05-04,633
368,Birthdate,1978-01-27,634
369,Birthdate,1986-10-20,635
370,Birthdate,1977-04-30,636
371,Birthdate,1966-10-13,637
372,Birthdate,1986-04-23,638
373,Birthdate,1990-09-27,641
374,Birthdate,1989-11-01,642
375,Birthdate,1984-03-07,644
376,Birthdate,1968-12-01,645
377,Birthdate,1988-09-09,647
378,Birthdate,1989-10-07,648
379,Birthdate,1994-03-25,650
380,Birthdate,1970-03-31,652
381,Birthdate,1975-08-25,653
382,Birthdate,1973-01-06,654
383,Birthdate,1970-04-16,656
384,Birthdate,1994-10-21,657
385,Birthdate,1977-04-29,658
386,Birthdate,1967-08-06,659
387,Birthdate,1972-08-27,661
388,Birthdate,1971-01-16,667
389,Birthdate,1982-11-20,668
390,Birthdate,1967-08-23,669
391,Birthdate,1989-10-20,670
392,Birthdate,1964-12-11,672
393,Birthdate,1969-10-30,674
394,Birthdate,1986-06-17,675
395,Birthdate,1969-02-16,677
396,Birthdate,1967-01-24,679
397,Birthdate,1981-06-14,680
398,Birthdate,1985-06-21,681
399,Birthdate,1966-07-15,682
400,Birthdate,1988-02-09,683
401,Birthdate,1987-06-22,684
402,Birthdate,1983-03-27,686
403,Birthdate,1988-02-10,687
404,Birthdate,1992-05-28,688
405,Birthdate,1984-08-16,690
406,Birthdate,1990-02-12,692
407,Birthdate,1983-06-28,695
408,Birthdate,1973-08-07,696
409,Birthdate,1977-06-16,698
410,Birthdate,1987-11-02,699
411,Birthdate,1965-04-19,700
412,Birthdate,1969-06-05,701
413,Birthdate,1964-12-03,702
414,Birthdate,1974-06-12,703
415,Birthdate,1983-09-02,704
416,Birthdate,1984-10-22,706
417,Birthdate,1967-04-29,707
418,Birthdate,1996-12-06,708
419,Birthdate,1987-08-09,711
420,Birthdate,1983-12-23,712
421,Birthdate,1983-04-05,713
422,Birthdate,1967-04-16,714
423,Birthdate,1966-09-23,715
424,Birthdate,1979-10-14,716
425,Birthdate,1992-11-17,717
426,Birthdate,1986-01-04,720
427,Birthdate,1977-10-18,721
428,Birthdate,1992-04-17,722
429,Birthdate,1994-06-03,723
430,Birthdate,1981-02-14,724
431,Birthdate,1977-12-21,725
432,Birthdate,1988-10-15,726
433,Birthdate,1968-04-12,727
434,Birthdate,1993-04-23,728
435,Birthdate,1990-08-12,730
436,Birthdate,1970-07-27,732
437,Birthdate,1980-08-18,733
438,Birthdate,1967-11-21,734
439,Birthdate,1994-07-30,735
440,Birthdate,1979-12-15,741
441,Birthdate,1996-09-23,745
442,Birthdate,1984-06-05,747
443,Birthdate,1984-04-14,751
444,Birthdate,1993-01-28,752
445,Birthdate,1984-07-08,753
446,Birthdate,1975-12-28,754
447,Birthdate,1978-02-05,755
448,Birthdate,1967-12-09,756
449,Birthdate,1978-11-04,763
450,Birthdate,1994-11-21,766
451,Birthdate,1993-08-13,770
452,Birthdate,1979-08-07,771
453,Birthdate,1992-04-10,772
454,Birthdate,1986-07-14,773
455,Birthdate,1981-12-28,774
456,Birthdate,1987-01-11,775
457,Birthdate,1986-01-07,778
458,Birthdate,1990-04-08,779
459,Birthdate,1995-01-15,781
460,Birthdate,1991-11-10,783
461,Birthdate,1980-01-19,784
462,Birthdate,1986-07-25,785
463,Birthdate,1982-11-13,787
464,Birthdate,1970-06-24,788
465,Birthdate,1978-01-08,790
466,Birthdate,1973-12-24,791
467,Birthdate,1971-07-06,793
468,Birthdate,1989-12-11,795
469,Birthdate,1992-01-23,796
470,Birthdate,1992-03-20,797
471,Birthdate,1970-08-15,799
472,Birthdate,1975-07-12,800
473,Birthdate,1993-12-23,803
474,Birthdate,1968-03-18,804
475,Birthdate,1970-02-21,806
476,Birthdate,1977-02-09,810
477,Birthdate,1973-08-28,811
478,Birthdate,1969-04-25,812
479,Birthdate,1980-03-30,813
480,Birthdate,1971-09-23,816
481,Birthdate,1971-11-25,817
482,Birthdate,1986-04-10,820
483,Birthdate,1991-09-09,821
484,Birthdate,1996-10-19,824
485,Birthdate,1977-02-13,826
486,Birthdate,1986-03-22,827
487,Birthdate,1987-05-14,828
488,Birthdate,1978-04-10,830
489,Birthdate,1984-04-01,832
490,Birthdate,1972-03-17,833
491,Birthdate,1969-09-07,834
492,Birthdate,1965-09-03,835
493,Birthdate,1992-02-05,841
494,Birthdate,1971-03-17,843
495,Birthdate,1975-03-02,847
496,Birthdate,1982-06-01,850
497,Birthdate,1994-06-10,851
498,Birthdate,1976-04-08,852
499,Birthdate,1996-03-26,854
500,Birthdate,1967-01-11,855
501,Birthdate,1979-09-05,857
502,Birthdate,1995-11-05,858
503,Birthdate,1976-11-12,859
504,Birthdate,1987-04-10,860
505,Birthdate,1978-09-17,861
506,Birthdate,1967-03-16,864
507,Birthdate,1986-01-05,865
508,Birthdate,1978-03-06,867
509,Birthdate,1978-02-22,868
510,Birthdate,1979-11-05,869
511,Birthdate,1986-12-28,870
512,Birthdate,1964-06-05,871
513,Birthdate,1983-11-29,873
514,Birthdate,1992-12-29,874
515,Birthdate,1967-05-17,875
516,Birthdate,1982-11-27,878
517,Birthdate,1982-06-09,879
518,Birthdate,1990-12-30,880
519,Birthdate,1978-01-02,881
520,Birthdate,1986-11-20,882
521,Birthdate,1981-11-22,884
522,Birthdate,1978-04-07,888
523,Birthdate,1969-09-05,890
524,Birthdate,1965-05-26,891
525,Birthdate,1982-06-11,894
526,Birthdate,1996-10-20,896
527,Birthdate,1996-07-23,898
528,Birthdate,1996-03-12,900
529,Birthdate,1991-04-29,901
530,Birthdate,1971-10-16,902
531,Birthdate,1990-05-31,903
532,Birthdate,1975-04-17,906
533,Birthdate,1989-06-05,907
534,Birthdate,1996-08-10,909
535,Birthdate,1968-10-22,910
536,Birthdate,1988-07-10,912
537,Birthdate,1974-02-21,913
538,Birthdate,1991-09-28,914
539,Birthdate,1986-06-09,915
540,Birthdate,1974-05-04,918
541,Birthdate,1982-03-31,919
542,Birthdate,1989-01-25,920
543,Birthdate,1982-09-13,921
544,Birthdate,1973-03-15,922
545,Birthdate,1966-05-16,923
546,Birthdate,1968-12-06,925
547,Birthdate,1974-01-10,926
548,Birthdate,1970-08-05,927
549,Birthdate,1982-11-24,930
550,Birthdate,1987-04-13,931
551,Birthdate,1985-05-14,933
552,Birthdate,1982-08-06,935
553,Birthdate,1980-10-31,937
554,Birthdate,1983-04-03,939
555,Birthdate,1975-05-12,941
556,Birthdate,1996-06-04,942
557,Birthdate,1982-12-17,944
558,Birthdate,1995-07-17,947
559,Birthdate,1974-05-30,948
560,Birthdate,1995-07-25,949
561,Birthdate,1978-08-28,950
562,Birthdate,1969-08-22,953
563,Birthdate,1978-03-10,954
564,Birthdate,1966-10-05,955
565,Birthdate,1993-09-04,958
566,Birthdate,1972-01-29,960
567,Birthdate,1989-05-15,964
568,Birthdate,1971-04-29,965
569,Birthdate,1972-10-28,967
570,Birthdate,1996-07-11,969
571,Birthdate,1986-12-21,970
572,Birthdate,1980-12-18,972
573,Birthdate,1970-04-29,974
574,Birthdate,1985-01-08,977
575,Birthdate,1985-08-15,980
576,Birthdate,1976-03-05,981
577,Birthdate,1978-03-01,982
578,Birthdate,1992-05-17,983
579,Birthdate,1983-02-25,984
580,Birthdate,1972-12-10,985
581,Birthdate,1970-04-02,986
582,Birthdate,1978-08-17,987
583,Birthdate,1989-05-15,993
584,Birthdate,1996-02-05,994
585,Birthdate,1971-07-05,995
586,Birthdate,1995-12-31,996
587,Birthdate,1993-03-07,998
588,Birthdate,1977-08-12,999
